"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1956",0.428,0,0.009,0.51,0.053
"1957",0.838,0.001,0.005,0.032,0.124
"1958",0.669,0,0.012,0.186,0.133
"1959",0.781,0.001,0.002,0.022,0.194
"1960",0.999,0,0,0,0.001
"1961",0.057,0.004,0.031,0.007,0.901
"1962",0,0.006,0.005,0,0.989
"1963",0.029,0.001,0.035,0.023,0.912
"1964",0.105,0.001,0.007,0.077,0.81
"1965",0.309,0.001,0.021,0.017,0.652
"1966",0.56,0.001,0.002,0.119,0.318
"1967",0.514,0.002,0.056,0.331,0.097
"1968",0.813,0.001,0.015,0.025,0.146
"1969",0.999,0,0,0.001,0
"1970",0.876,0,0.007,0.083,0.034
"1971",0.319,0,0.041,0.472,0.168
"1972",0.985,0,0,0.009,0.006
"1973",0.376,0.014,0.005,0.187,0.418
"1974",0.901,0,0.013,0.03,0.056
"1975",0.356,0,0.041,0.338,0.265
"1976",0.976,0.001,0,0.006,0.017
"1977",0.004,0.015,0.048,0,0.933
"1978",0.609,0.001,0.006,0.012,0.372
"1979",0.208,0.028,0.02,0.681,0.063
"1980",0.937,0,0,0.001,0.062
"1981",0.188,0.008,0.051,0.139,0.614
"1982",0.872,0,0.001,0.009,0.118
"1983",0.496,0,0.032,0.152,0.32
"1984",0.238,0.006,0.008,0.148,0.6
"1985",0.85,0,0.002,0.045,0.103
"1986",0.221,0.002,0.017,0.251,0.509
"1987",0.034,0.015,0.303,0.013,0.635
"1988",0.965,0,0,0.017,0.018
"1989",0.003,0.012,0.001,0,0.984
"1990",0.924,0,0,0.004,0.072
"1991",0.969,0,0,0,0.031
"1992",0.166,0,0.004,0.184,0.646
"1993",0.585,0,0.004,0.113,0.298
"1994",0.929,0,0.002,0,0.069
"1995",0.271,0,0.012,0.468,0.249
"1996",0.262,0,0.001,0.619,0.118
"1997",0.13,0.007,0.008,0.064,0.791
"1998",0.56,0,0.039,0.313,0.088
"1999",0.493,0,0.015,0.331,0.161
"2000",0.457,0.001,0.004,0.415,0.123
"2001",0,0,0.039,0,0.961
"2002",0.011,0.026,0.063,0.03,0.87
"2003",0.979,0,0,0.004,0.017
"2004",0.596,0.01,0.008,0.084,0.302
"2005",0.536,0,0.037,0.344,0.083
"2006",0.36,0,0.044,0.087,0.509
"2007",0.87,0.001,0.008,0.018,0.103
"2008",0.469,0,0.026,0.335,0.17
"2009",0.277,0.001,0.003,0.634,0.085
"2010",0.479,0,0.017,0.097,0.407
"2011",0.999,0,0,0.001,0
"2012",0.352,0,0.069,0.302,0.277
"2013",0.394,0.001,0.007,0.086,0.512
"2014",0.633,0,0.002,0.226,0.139
"2015",0.191,0.001,0.067,0.422,0.319
"2016",0.79,0,0,0.101,0.109
"2017",0.648,0,0.003,0.09,0.259
"2018",0.408,0,0.014,0.419,0.159
"2019",0.411,0,0.003,0.245,0.341
"2020",0.38,0,0.014,0.479,0.127
"2021",0.568,0,0.012,0.352,0.068
"2022",0.232,0.007,0.015,0.033,0.713
"2023",0.283,0,0.009,0.55,0.158
"2024",0.222,0,0.045,0.606,0.127
"2025",0.722,0,0.003,0.236,0.039
"2026",0.988,0,0.001,0.004,0.007
"2027",0,0.014,0.012,0.007,0.967
"2028",0.326,0,0.007,0.42,0.247
"2029",0.009,0,0.043,0.178,0.77
"2030",0.872,0,0.006,0.083,0.039
"2031",0.673,0,0.007,0.022,0.298
"2032",0,0.003,0.012,0.003,0.982
"2033",0.565,0.017,0.005,0.106,0.307
"2034",0.002,0.026,0.013,0.002,0.957
"2035",0.546,0,0.008,0.213,0.233
"2036",0.243,0,0.028,0.69,0.039
"2037",0.002,0.006,0.02,0,0.972
"2038",0.016,0.049,0.312,0.003,0.62
"2039",0.192,0,0.01,0.73,0.068
"2040",0.381,0,0.013,0.393,0.213
"2041",0.898,0.002,0.011,0.013,0.076
"2042",0.001,0,0.005,0,0.994
"2043",0.625,0.001,0.007,0.051,0.316
"2044",0.161,0.001,0.051,0.665,0.122
"2045",0.265,0,0.005,0.655,0.075
"2046",0.345,0.001,0.027,0.51,0.117
"2047",0.697,0.01,0.013,0.179,0.101
"2048",0.668,0,0.003,0.294,0.035
"2049",0.002,0.012,0.07,0,0.916
"2050",0.383,0,0.032,0.091,0.494
"2051",0.011,0.02,0.063,0.032,0.874
"2052",0.269,0.002,0.007,0.583,0.139
"2053",0.116,0.002,0.08,0.061,0.741
"2054",0.869,0.002,0,0.08,0.049
"2055",0.343,0,0.013,0.597,0.047
"2056",0.023,0.016,0.065,0.697,0.199
"2057",0.649,0.001,0.014,0.275,0.061
"2058",0,0,0.001,0,0.999
"2059",0.632,0,0.001,0.095,0.272
"2060",0.991,0,0.001,0.003,0.005
"2061",0.48,0.001,0.01,0.241,0.268
"2062",0.537,0.003,0.016,0.001,0.443
"2063",0.04,0.003,0.007,0.002,0.948
"2064",0.648,0,0,0.238,0.114
"2065",0.318,0,0.006,0.251,0.425
"2066",0.025,0.001,0.243,0.264,0.467
"2067",0.072,0,0.184,0.505,0.239
"2068",0.16,0.063,0.072,0.01,0.695
"2069",0.03,0.001,0.149,0.25,0.57
"2070",0.868,0,0.006,0.031,0.095
"2071",0.688,0,0.006,0.035,0.271
"2072",0.402,0,0.007,0.042,0.549
"2073",0.375,0,0.017,0.097,0.511
"2074",0.7,0,0.001,0.228,0.071
"2075",0.371,0.001,0.012,0.499,0.117
"2076",0.435,0.001,0.017,0.494,0.053
"2077",0,0.002,0.037,0.041,0.92
"2078",0.12,0,0.051,0.039,0.79
"2079",0.49,0,0.014,0.117,0.379
"2080",0.412,0,0.018,0.335,0.235
"2081",0.613,0.001,0.159,0.191,0.036
"2082",0.222,0,0.034,0.655,0.089
"2083",0.583,0.006,0.01,0.039,0.362
"2084",0.145,0.001,0.102,0.512,0.24
"2085",0.356,0,0.107,0.459,0.078
"2086",0.961,0,0.001,0.025,0.013
"2087",0.181,0.003,0.012,0.714,0.09
"2088",0.951,0.001,0,0.042,0.006
"2089",0.001,0,0.006,0,0.993
"2090",0.826,0,0.001,0.146,0.027
"2091",0.03,0.003,0.021,0.289,0.657
"2092",0,0.001,0.004,0,0.995
"2093",0.96,0,0,0.003,0.037
"2094",0,0.016,0.011,0.002,0.971
"2095",0.624,0,0.008,0.216,0.152
"2096",0.001,0,0,0,0.999
"2097",0.588,0,0.004,0.352,0.056
"2098",0.014,0.013,0.04,0.004,0.929
"2099",0.001,0.021,0.121,0,0.857
"2100",0.58,0,0.017,0.138,0.265
"2101",0.003,0.002,0.049,0.002,0.944
"2102",0.011,0.018,0.053,0.039,0.879
"2103",0.842,0.001,0,0,0.157
"2104",0.001,0.035,0.473,0.045,0.446
"2105",0.021,0,0.171,0.408,0.4
"2106",0.997,0,0.001,0.001,0.001
"2107",0.249,0.012,0.015,0.63,0.094
"2108",0.851,0.002,0.012,0.018,0.117
"2109",0.787,0,0.001,0.173,0.039
"2110",0.308,0.002,0.113,0.449,0.128
"2111",0.841,0,0,0.053,0.106
"2112",0.012,0.011,0.435,0.005,0.537
"2113",0.362,0.002,0.034,0.521,0.081
"2114",0.421,0,0.008,0.142,0.429
"2115",0.039,0.001,0.011,0.124,0.825
"2116",0.516,0,0.037,0.252,0.195
"2117",0.386,0,0.057,0.429,0.128
"2118",0.721,0.001,0.028,0.198,0.052
"2119",0.289,0,0.034,0.487,0.19
"2120",0.665,0.002,0.001,0.046,0.286
"2121",0.378,0,0.017,0.282,0.323
"2122",0.561,0.004,0.007,0.408,0.02
"2123",0.191,0.001,0.012,0.233,0.563
"2124",0.704,0,0.001,0.036,0.259
"2125",0.481,0.001,0.018,0.386,0.114
"2126",0.314,0,0.165,0.376,0.145
"2127",0.944,0,0,0,0.056
"2128",0.035,0,0.083,0.288,0.594
"2129",0.895,0,0.006,0.075,0.024
"2130",0.261,0.026,0.123,0.074,0.516
"2131",0.011,0.012,0.188,0.02,0.769
"2132",0.509,0,0.002,0.227,0.262
"2133",0,0.041,0.068,0,0.891
"2134",0,0.004,0.028,0,0.968
"2135",0,0,0.003,0,0.997
"2136",0.847,0,0,0.14,0.013
"2137",0.608,0,0.001,0.051,0.34
"2138",0.857,0,0.002,0.002,0.139
"2139",0.005,0.018,0.037,0.002,0.938
"2140",0.252,0.001,0.008,0.598,0.141
"2141",0.487,0.002,0.017,0.438,0.056
"2142",0.008,0,0.062,0.817,0.113
"2143",0.808,0,0.004,0.03,0.158
"2144",0.762,0,0,0.219,0.019
"2145",0.001,0.003,0.05,0.002,0.944
"2146",0.456,0.001,0.001,0.056,0.486
"2147",0.539,0,0.01,0.388,0.063
"2148",0.665,0,0.008,0.309,0.018
"2149",0.007,0.007,0.021,0.001,0.964
"2150",0.086,0.003,0.008,0.004,0.899
"2151",0.639,0,0.006,0.106,0.249
"2152",0.963,0,0,0.002,0.035
"2153",0.473,0.002,0.005,0.168,0.352
"2154",0.989,0,0,0.002,0.009
"2155",0.649,0,0.012,0.204,0.135
"2156",0.29,0,0.008,0.036,0.666
"2157",0.417,0.015,0.066,0.003,0.499
"2158",0.421,0,0.01,0.123,0.446
"2159",0.073,0.196,0.14,0.003,0.588
"2160",0.857,0,0.001,0.055,0.087
"2161",0.901,0,0,0.062,0.037
"2162",0.766,0,0.008,0.154,0.072
"2163",0.994,0,0,0.006,0
"2164",0.097,0,0.02,0.064,0.819
"2165",0.993,0,0,0.004,0.003
"2166",0.332,0.001,0.002,0.625,0.04
"2167",0.334,0,0.011,0.096,0.559
"2168",0.902,0.005,0,0.035,0.058
"2169",0.795,0,0.003,0.034,0.168
"2170",0.001,0,0.002,0,0.997
"2171",0.801,0,0.001,0.041,0.157
"2172",0.888,0,0,0.002,0.11
"2173",0.474,0,0.017,0.115,0.394
"2174",0.549,0,0.01,0.402,0.039
"2175",0.539,0.001,0.025,0.103,0.332
"2176",0.431,0,0.031,0.486,0.052
"2177",0.6,0.001,0.008,0.363,0.028
"2178",0.537,0.008,0.042,0.147,0.266
"2179",0.744,0,0.002,0.076,0.178
"2180",0.189,0.002,0.008,0.652,0.149
"2181",0.607,0,0.002,0.077,0.314
"2182",0.81,0,0.028,0.131,0.031
"2183",0.583,0,0,0.002,0.415
"2184",0.621,0,0.023,0.183,0.173
"2185",0.396,0.002,0.014,0.44,0.148
"2186",0.054,0,0.469,0.463,0.014
"2187",0.851,0,0,0.047,0.102
"2188",0.395,0,0.009,0.451,0.145
"2189",0.307,0,0.008,0.085,0.6
"2190",0.586,0,0.016,0.312,0.086
"2191",0.62,0.002,0.028,0.314,0.036
"2192",0.427,0,0.011,0.259,0.303
"2193",0.763,0,0,0.22,0.017
"2194",0,0.003,0.034,0,0.963
"2195",0.264,0.001,0.185,0.251,0.299
"2196",0.23,0,0.013,0.208,0.549
"2197",0.331,0.002,0.031,0.552,0.084
"2198",0.289,0.001,0.077,0.535,0.098
"2199",0.004,0.002,0.008,0.006,0.98
"2200",0.035,0,0.11,0.29,0.565
"2201",0.772,0.003,0.002,0.143,0.08
"2202",0.323,0.001,0.145,0.202,0.329
"2203",0,0.002,0.023,0,0.975
"2204",0.011,0.007,0.067,0.001,0.914
"2205",0.072,0.002,0.097,0.646,0.183
"2206",0.232,0.001,0.009,0.677,0.081
"2207",0.939,0.001,0.001,0.041,0.018
"2208",0.021,0.016,0.081,0.002,0.88
"2209",0.401,0,0.029,0.473,0.097
"2210",0.226,0,0.006,0.646,0.122
"2211",0.952,0,0.003,0.004,0.041
"2212",0.693,0.003,0.001,0.018,0.285
"2213",0.357,0.001,0.052,0.483,0.107
"2214",0.368,0.001,0.019,0.461,0.151
"2215",0.02,0.001,0.54,0.274,0.165
"2216",0.767,0,0.004,0.177,0.052
"2217",0.097,0.041,0.007,0.002,0.853
"2218",0,0.019,0.017,0,0.964
"2219",0.066,0.003,0.041,0.126,0.764
"2220",0.589,0.005,0.001,0.334,0.071
"2221",0.52,0,0.011,0.375,0.094
"2222",0.953,0,0,0.006,0.041
"2223",0.65,0,0,0.036,0.314
"2224",0.444,0.038,0.02,0.454,0.044
"2225",0.36,0.001,0.024,0.332,0.283
"2226",0.955,0,0,0.017,0.028
"2227",0.325,0.006,0.07,0.131,0.468
"2228",0.607,0.002,0.014,0.346,0.031
"2229",0.344,0.02,0.07,0.002,0.564
"2230",0.258,0,0.015,0.558,0.169
"2231",0,0.001,0.004,0,0.995
"2232",0.855,0,0.02,0.031,0.094
"2233",0.699,0,0.001,0.18,0.12
"2234",0.997,0,0,0.002,0.001
"2235",0.522,0.004,0.02,0.143,0.311
"2236",0.233,0.012,0.054,0.553,0.148
"2237",0.39,0,0.039,0.384,0.187
"2238",0,0,0.012,0,0.988
"2239",0.653,0,0.014,0.148,0.185
"2240",0.621,0,0.002,0.249,0.128
"2241",0.693,0.003,0.05,0.058,0.196
"2242",0.528,0,0.002,0.118,0.352
"2243",0.628,0,0.02,0.193,0.159
"2244",0.19,0,0.017,0.661,0.132
"2245",0.432,0,0.028,0.466,0.074
"2246",0,0,0.001,0,0.999
"2247",0.123,0,0.137,0.061,0.679
"2248",0.505,0,0.025,0.321,0.149
"2249",0.002,0.008,0.019,0,0.971
"2250",0.544,0,0.013,0.339,0.104
"2251",0.98,0.001,0.002,0.005,0.012
"2252",0.461,0,0.011,0.396,0.132
"2253",0.017,0.001,0.064,0.332,0.586
"2254",1,0,0,0,0
"2255",0,0,0,0,1
"2256",0.907,0,0.008,0.079,0.006
"2257",0.034,0.013,0.181,0,0.772
"2258",0.582,0,0.009,0.081,0.328
"2259",0.582,0,0.056,0.151,0.211
"2260",0.294,0.013,0.022,0.567,0.104
"2261",0.763,0,0.007,0.009,0.221
"2262",0.886,0.001,0.007,0.04,0.066
"2263",0.043,0,0.022,0.109,0.826
"2264",0,0.009,0.022,0,0.969
"2265",0.126,0,0.07,0.47,0.334
"2266",0.594,0,0.006,0.154,0.246
"2267",0.766,0,0,0.185,0.049
"2268",0.119,0.042,0.199,0.035,0.605
"2269",0.002,0.007,0.055,0.003,0.933
"2270",0,0.001,0.01,0,0.989
"2271",0.598,0,0.019,0.272,0.111
"2272",0,0,0.016,0,0.984
"2273",0.866,0,0.001,0.088,0.045
"2274",0.664,0,0.003,0.17,0.163
"2275",0.915,0,0,0.039,0.046
"2276",0.01,0.005,0.077,0.002,0.906
"2277",0.536,0,0.061,0.291,0.112
"2278",0.578,0.001,0.016,0.363,0.042
"2279",0,0.002,0.005,0,0.993
"2280",0.027,0.034,0.006,0.001,0.932
"2281",0.885,0,0,0.022,0.093
"2282",0.211,0,0.023,0.62,0.146
"2283",0.319,0.002,0.025,0.477,0.177
"2284",0.539,0,0.02,0.114,0.327
"2285",0.943,0,0,0.005,0.052
"2286",0.359,0.001,0.014,0.512,0.114
"2287",0.035,0.047,0.303,0.017,0.598
"2288",0.212,0,0,0.04,0.748
"2289",0.102,0,0.03,0.126,0.742
"2290",0.129,0,0.037,0.333,0.501
"2291",0.41,0,0.001,0.546,0.043
"2292",0.132,0.009,0.212,0.082,0.565
"2293",0.244,0.026,0.153,0.045,0.532
"2294",0.882,0,0,0.043,0.075
"2295",0.583,0,0.066,0.298,0.053
"2296",0.713,0.001,0.001,0.02,0.265
"2297",0.53,0,0.009,0.407,0.054
"2298",0.125,0,0.204,0.431,0.24
"2299",0.802,0,0.002,0.109,0.087
"2300",0.494,0.001,0.036,0.419,0.05
"2301",0.602,0.003,0.071,0.168,0.156
"2302",0.371,0,0.064,0.135,0.43
"2303",0.01,0.009,0.041,0.028,0.912
"2304",0.717,0.001,0.005,0.197,0.08
"2305",0.011,0.014,0.091,0.747,0.137
"2306",0.567,0,0.013,0.257,0.163
"2307",0.161,0.004,0.031,0.134,0.67
"2308",0.142,0.008,0.165,0.096,0.589
"2309",0,0.008,0.015,0.006,0.971
"2310",0,0,0.001,0,0.999
"2311",0,0.001,0.011,0,0.988
"2312",0.07,0.002,0.006,0.038,0.884
"2313",0.859,0,0.015,0.108,0.018
"2314",0.64,0,0.009,0.297,0.054
"2315",0.527,0.001,0.008,0.095,0.369
"2316",0.739,0,0.011,0.199,0.051
"2317",0.039,0.013,0.074,0,0.874
"2318",0.584,0.002,0.023,0.037,0.354
"2319",0.001,0.013,0.028,0.003,0.955
"2320",0.026,0.002,0.546,0.252,0.174
"2321",0.987,0,0,0.001,0.012
"2322",0.886,0.001,0.001,0.084,0.028
"2323",0.63,0.001,0.007,0.057,0.305
"2324",0.591,0.001,0.039,0.256,0.113
"2325",0,0.002,0.007,0,0.991
"2326",0.578,0,0.001,0.374,0.047
"2327",0,0,0.002,0,0.998
"2328",0.346,0.001,0.047,0.453,0.153
"2329",0.895,0,0.003,0.003,0.099
"2330",0.362,0,0.001,0.084,0.553
"2331",0.534,0,0.025,0.081,0.36
"2332",0.178,0.002,0.009,0.692,0.119
"2333",0.45,0,0.001,0.508,0.041
"2334",0.418,0,0.015,0.484,0.083
"2335",0.377,0.009,0.049,0.123,0.442
"2336",0.438,0.001,0.003,0.387,0.171
"2337",0.473,0,0.02,0.029,0.478
"2338",0,0.002,0.015,0,0.983
"2339",0.415,0,0.008,0.331,0.246
"2340",0.95,0,0,0.017,0.033
"2341",0.445,0,0,0.001,0.554
"2342",0.568,0,0,0.005,0.427
"2343",0.658,0.002,0.022,0.027,0.291
"2344",0.633,0,0.002,0.103,0.262
"2345",0.552,0.001,0.052,0.134,0.261
"2346",0.012,0,0.707,0.006,0.275
"2347",0.193,0,0.046,0.212,0.549
"2348",0.005,0.019,0.049,0.009,0.918
"2349",0.026,0.012,0.092,0.018,0.852
"2350",0,0.004,0.005,0.001,0.99
"2351",0.581,0.006,0.007,0.018,0.388
"2352",0.799,0.001,0.006,0.093,0.101
"2353",0.566,0.006,0.03,0.337,0.061
"2354",0.042,0.017,0.231,0.019,0.691
"2355",0.699,0,0,0.261,0.04
"2356",0.38,0.003,0.028,0.528,0.061
"2357",0.254,0,0.06,0.131,0.555
"2358",0.053,0.009,0.01,0.004,0.924
"2359",0.886,0.002,0,0.004,0.108
"2360",0.848,0.001,0.026,0.058,0.067
"2361",0.383,0,0.002,0.485,0.13
"2362",0.8,0,0,0.024,0.176
"2363",0.589,0,0.001,0.179,0.231
"2364",0.973,0,0,0.024,0.003
"2365",0.54,0.001,0.005,0.357,0.097
"2366",0.432,0.003,0.072,0.376,0.117
"2367",0.09,0.001,0.104,0.472,0.333
"2368",0.959,0,0,0.037,0.004
"2369",0.725,0,0.008,0.22,0.047
"2370",0.433,0,0.016,0.093,0.458
"2371",0.876,0.001,0.003,0.003,0.117
"2372",0.685,0,0.014,0.251,0.05
"2373",0.007,0.004,0.048,0.033,0.908
"2374",0.797,0,0.012,0.125,0.066
"2375",0.663,0.001,0.005,0.079,0.252
"2376",0.754,0,0.001,0.228,0.017
"2377",0.603,0.004,0.008,0.294,0.091
"2378",0.635,0,0.015,0.317,0.033
"2379",0.407,0.001,0.004,0.539,0.049
"2380",0,0,0,0,1
"2381",0.753,0,0.012,0.066,0.169
"2382",0.064,0.005,0.075,0.198,0.658
"2383",0.341,0.005,0.017,0.414,0.223
"2384",0.745,0,0,0.241,0.014
"2385",0.018,0.058,0.19,0.001,0.733
"2386",0.528,0.004,0.066,0.268,0.134
"2387",0.96,0.002,0,0.003,0.035
"2388",0.515,0,0.007,0.464,0.014
"2389",0.001,0.006,0.013,0.001,0.979
"2390",0.555,0,0.059,0.066,0.32
"2391",0.237,0.002,0.022,0.655,0.084
"2392",0.416,0.001,0.009,0.064,0.51
"2393",0.346,0.004,0.012,0.47,0.168
"2394",0.321,0,0.004,0.283,0.392
"2395",0,0.001,0.011,0,0.988
"2396",0.702,0,0.001,0.054,0.243
"2397",0.003,0.006,0.055,0,0.936
"2398",0.024,0.019,0.035,0.014,0.908
"2399",0.693,0,0.006,0.243,0.058
"2400",0.926,0.002,0.004,0.01,0.058
"2401",0.379,0.022,0.232,0.268,0.099
"2402",0.585,0,0,0.4,0.015
"2403",0.577,0,0.015,0.294,0.114
"2404",0.488,0,0.007,0.473,0.032
"2405",0.476,0,0.004,0.093,0.427
"2406",0.494,0.001,0.002,0.129,0.374
"2407",0.635,0.001,0.005,0.318,0.041
"2408",0.531,0,0.003,0.171,0.295
"2409",0,0,0.024,0.022,0.954
"2410",0.225,0.005,0.191,0.037,0.542
"2411",0.752,0,0.025,0.165,0.058
"2412",0.567,0,0.034,0.132,0.267
"2413",0.015,0.022,0.04,0.003,0.92
"2414",0.425,0.001,0.009,0.505,0.06
"2415",0.845,0,0.002,0.037,0.116
"2416",0.995,0,0.005,0,0
"2417",0.015,0.001,0.556,0.053,0.375
"2418",0.021,0.021,0.134,0.007,0.817
"2419",0.122,0.026,0.022,0.425,0.405
"2420",0.233,0.009,0.067,0.58,0.111
"2421",0.038,0.055,0.509,0.013,0.385
"2422",0.255,0,0.019,0.682,0.044
"2423",0.997,0,0.001,0.001,0.001
"2424",0.615,0,0.005,0.204,0.176
"2425",0.082,0,0.053,0.349,0.516
"2426",0.163,0.001,0.057,0.642,0.137
"2427",0,0.009,0.007,0,0.984
"2428",0.826,0,0.001,0.168,0.005
"2429",0.656,0,0,0.335,0.009
"2430",0.979,0,0.001,0.018,0.002
"2431",0.95,0,0,0.002,0.048
"2432",0.855,0,0.006,0.083,0.056
"2433",0.916,0,0,0.063,0.021
"2434",0.37,0.059,0.031,0.02,0.52
"2435",0.76,0,0.008,0.029,0.203
"2436",0.053,0.04,0.422,0.018,0.467
"2437",0.927,0,0.01,0.01,0.053
"2438",0.232,0.003,0.117,0.316,0.332
"2439",0.998,0,0.002,0,0
"2440",0.112,0.009,0.108,0.108,0.663
"2441",0.468,0,0.092,0.346,0.094
"2442",0.336,0.001,0.023,0.516,0.124
"2443",0.155,0,0.121,0.001,0.723
"2444",0.474,0,0,0.282,0.244
"2445",0.016,0.016,0.457,0.009,0.502
"2446",0.231,0.015,0.06,0.526,0.168
"2447",0.982,0,0,0.001,0.017
"2448",0.987,0,0.002,0,0.011
"2449",0.941,0.001,0.003,0.002,0.053
"2450",0.524,0.021,0.056,0.108,0.291
"2451",0.02,0,0.42,0.439,0.121
"2452",0.002,0.001,0.008,0,0.989
"2453",0.008,0.009,0.106,0.046,0.831
"2454",0.398,0,0.03,0.177,0.395
"2455",0.465,0.001,0.002,0.281,0.251
"2456",0.997,0,0,0.001,0.002
"2457",0.003,0.004,0.143,0,0.85
"2458",0.454,0,0.005,0.017,0.524
"2459",0,0,0.001,0.001,0.998
"2460",0.772,0.001,0.002,0.123,0.102
"2461",0.556,0.002,0.073,0.134,0.235
"2462",0.538,0,0.024,0.38,0.058
"2463",0.857,0,0,0.039,0.104
"2464",0.925,0,0,0.004,0.071
"2465",0.86,0,0.003,0.095,0.042
"2466",0.95,0,0,0.01,0.04
"2467",0.978,0.001,0,0,0.021
"2468",0,0.015,0.007,0,0.978
"2469",0.822,0,0.001,0.058,0.119
"2470",0.99,0,0,0.007,0.003
"2471",0.386,0.004,0.002,0.169,0.439
"2472",0.939,0,0.004,0.005,0.052
"2473",0.896,0,0.022,0.011,0.071
"2474",0.633,0,0.091,0.179,0.097
"2475",0.358,0,0.023,0.513,0.106
"2476",0.001,0.005,0.019,0.001,0.974
"2477",0.019,0.003,0.19,0.616,0.172
"2478",0.003,0.009,0.274,0.001,0.713
"2479",0.109,0,0.008,0.146,0.737
"2480",0.624,0,0.065,0.119,0.192
"2481",0.344,0.001,0.137,0.256,0.262
"2482",0.552,0.005,0.018,0.005,0.42
"2483",0.09,0,0.002,0.111,0.797
"2484",0.006,0.04,0.302,0.015,0.637
"2485",0.906,0,0,0.08,0.014
"2486",0.552,0,0.011,0.166,0.271
"2487",0.839,0,0.001,0.145,0.015
"2488",0.795,0,0.002,0.182,0.021
"2489",0,0.001,0.045,0,0.954
"2490",0.856,0,0.001,0.003,0.14
"2491",0.347,0,0.008,0.037,0.608
"2492",0.71,0,0.002,0.25,0.038
"2493",0.005,0,0.053,0.868,0.074
"2494",0,0.001,0.008,0,0.991
"2495",0.927,0,0,0.002,0.071
"2496",0.871,0,0,0.068,0.061
"2497",0.67,0,0.011,0.038,0.281
"2498",0,0,0.001,0,0.999
"2499",0.027,0.023,0.396,0.025,0.529
"2500",0.005,0.025,0.17,0.004,0.796
"2501",0.435,0,0.019,0.362,0.184
"2502",0.33,0,0.041,0.453,0.176
"2503",0.781,0.001,0,0.193,0.025
"2504",0.982,0,0,0,0.018
"2505",0.434,0,0.014,0.111,0.441
"2506",0.327,0.002,0.013,0.514,0.144
"2507",0.005,0.008,0.079,0.003,0.905
"2508",0.679,0,0.002,0.076,0.243
"2509",0.001,0.003,0.098,0.001,0.897
"2510",0.993,0,0,0.004,0.003
"2511",0.736,0,0,0.184,0.08
"2512",0.756,0,0.047,0.067,0.13
"2513",0.003,0.018,0.168,0,0.811
"2514",0,0.006,0.015,0,0.979
"2515",0.536,0,0.001,0.277,0.186
"2516",0.451,0.002,0.037,0.39,0.12
"2517",0.065,0.023,0.157,0.101,0.654
"2518",0.745,0,0.004,0.174,0.077
"2519",0.027,0.001,0.221,0.356,0.395
"2520",0.22,0,0.052,0.547,0.181
"2521",0.406,0.001,0.016,0.502,0.075
"2522",0.722,0.001,0.006,0.093,0.178
"2523",0.73,0,0,0.12,0.15
"2524",0.05,0,0.292,0.561,0.097
"2525",0.071,0.001,0.031,0.424,0.473
"2526",0.189,0.002,0.015,0.034,0.76
"2527",0.847,0,0.009,0.037,0.107
"2528",0.445,0.002,0.008,0.48,0.065
"2529",0.322,0,0.007,0.509,0.162
"2530",0,0,0.013,0,0.987
"2531",0.008,0.03,0.147,0.002,0.813
"2532",0.002,0.005,0.249,0.005,0.739
"2533",0.988,0,0.004,0,0.008
"2534",0.027,0.026,0.295,0.083,0.569
"2535",0.719,0,0.021,0.2,0.06
"2536",0.519,0,0.001,0.46,0.02
"2537",0.266,0.006,0.025,0.092,0.611
"2538",0.047,0.005,0.031,0.064,0.853
"2539",0.001,0.024,0.049,0.002,0.924
"2540",0.001,0.008,0.027,0.021,0.943
"2541",0.835,0.005,0,0.008,0.152
"2542",0.994,0,0,0.004,0.002
"2543",0.958,0,0.001,0.014,0.027
"2544",0.996,0,0,0.004,0
"2545",0.938,0,0.001,0.05,0.011
"2546",0.013,0.021,0.382,0.002,0.582
"2547",0.517,0.001,0.01,0.423,0.049
"2548",0.983,0,0.001,0.004,0.012
"2549",0.728,0,0,0.24,0.032
"2550",0.077,0.002,0.258,0.269,0.394
"2551",0.534,0,0.001,0.083,0.382
"2552",0,0,0.006,0,0.994
"2553",0.753,0,0,0.239,0.008
"2554",0.416,0,0,0.053,0.531
"2555",0.832,0.002,0,0.151,0.015
"2556",0,0,0.001,0,0.999
"2557",0.714,0.001,0.007,0.074,0.204
"2558",0.889,0.001,0.003,0.031,0.076
"2559",0.638,0.001,0.015,0.133,0.213
"2560",0.661,0,0.002,0.106,0.231
"2561",0.363,0,0.055,0.363,0.219
"2562",0.477,0,0.119,0.252,0.152
"2563",0.258,0.003,0.023,0.513,0.203
"2564",0.998,0,0.001,0,0.001
"2565",0.996,0,0.001,0,0.003
"2566",0.081,0.001,0.106,0.414,0.398
"2567",0.077,0,0.181,0.392,0.35
"2568",0.622,0,0.026,0.334,0.018
"2569",0.229,0,0.093,0.23,0.448
"2570",0.769,0,0.015,0.002,0.214
"2571",0.573,0,0.018,0.332,0.077
"2572",0.511,0,0.007,0.389,0.093
"2573",0.334,0,0.007,0.2,0.459
"2574",0.979,0,0.002,0.004,0.015
"2575",0.731,0,0.001,0.048,0.22
"2576",0.053,0.009,0.01,0.004,0.924
"2577",0.55,0,0.014,0.214,0.222
"2578",0.232,0,0.04,0.594,0.134
"2579",0.267,0.002,0.006,0.119,0.606
"2580",0.43,0,0.005,0.1,0.465
"2581",0.641,0.004,0,0.006,0.349
